3 {maxRange=96.72852492102554, maxFlightTime=81.67373304389835, cruiseSpeed=176.15941620287632, maxSpeed=231.2808840955982, loadCapacity=11.143287689708917, maxHeight=3478.741016676184, powerType='Fuel', size=2.4246820050278193, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=3}
3 {maxRange=94.85976035180497, maxFlightTime=143.21076573226293, cruiseSpeed=215.83117031371424, maxSpeed=232.62737463628184, loadCapacity=24.857979325388015, maxHeight=2923.0795139109828, powerType='Fuel', size=1.720255344715952, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=3}
2 {maxRange=238.88861516376366, maxFlightTime=180.24403933677388, cruiseSpeed=290.8785572087331, maxSpeed=259.57515384376734, loadCapacity=47.233590597742946, maxHeight=2974.574900411374, powerType='Fuel', size=19.866143613958442, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=23.325924595586148}
3 {maxRange=56.47377593132909, maxFlightTime=151.76369646251726, cruiseSpeed=174.58464747226657, maxSpeed=97.01443415120386, loadCapacity=24.615249065527347, maxHeight=3856.658231625315, powerType='Fuel', size=1.3250332746751439, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=2}
2 {maxRange=65.39255197553622, maxFlightTime=131.97458678322235, cruiseSpeed=279.0031975296271, maxSpeed=238.25779468298722, loadCapacity=47.12931227481665, maxHeight=1555.7380898699944, powerType='Fuel', size=15.442830113711127, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=34.50520965198996}
2 {maxRange=103.20420519538416, maxFlightTime=185.84119413426995, cruiseSpeed=334.8545541052805, maxSpeed=221.99154976888292, loadCapacity=17.055556837745552, maxHeight=2611.319399370839, powerType='Fuel', size=17.552918348143262, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=13.048376258583872}
1 {maxRange=39.918924913309056, maxFlightTime=47.17188992291251, cruiseSpeed=21.13702579270773, maxSpeed=35.85892581606401, loadCapacity=4.3115844126465, maxHeight=527.3032882684582, powerType='Electric', size=1.7426388636517136, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
1 {maxRange=11.58870894645054, maxFlightTime=47.577798285588116, cruiseSpeed=9.808562424934415, maxSpeed=37.67135786278536, loadCapacity=3.261238912687062, maxHeight=150.47051684847702, powerType='Electric', size=1.8291568083111407, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=43.922553540422825, maxFlightTime=87.0169502294018, cruiseSpeed=56.997172392671146, maxSpeed=237.5286041759618, loadCapacity=21.746480592825826, maxHeight=2648.3696662482694, powerType='Fuel', size=3.3633724233099525, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=6}
2 {maxRange=221.62381759693506, maxFlightTime=174.26380651194762, cruiseSpeed=162.0062318423806, maxSpeed=361.79361264207427, loadCapacity=52.58651213631408, maxHeight=5587.614447941869, powerType='Fuel', size=16.410284638918966, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=26.5912126310499}
4 {maxRange=53.052278470129544, maxFlightTime=115.95092532642244, cruiseSpeed=157.66326211232956, maxSpeed=199.17588026316494, loadCapacity=37.92887333907312, maxHeight=5397.659014276766, powerType='Hybrid (Fuel + Electric)', size=3.4594071040748764, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=4889.391065315952}
1 {maxRange=58.97402715695552, maxFlightTime=66.87809424828163, cruiseSpeed=5.572779970263191, maxSpeed=26.08853049835238, loadCapacity=4.7267729592136725, maxHeight=148.2076359454329, powerType='Electric', size=0.852018883173655, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=95.1949321208664, maxFlightTime=61.53164878000221, cruiseSpeed=89.70201383030067, maxSpeed=138.48608045256861, loadCapacity=18.7697731201058, maxHeight=523.1155488289012, powerType='Fuel', size=4.461880101545713, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=2}
3 {maxRange=69.0275939897261, maxFlightTime=146.30265564896632, cruiseSpeed=168.0719254879191, maxSpeed=135.28479058676822, loadCapacity=20.270611479539866, maxHeight=3291.313592056962, powerType='Fuel', size=1.9718005267744079, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=7}
2 {maxRange=234.8195445530585, maxFlightTime=115.57055672468745, cruiseSpeed=291.8464761078653, maxSpeed=540.9344323960958, loadCapacity=25.995786581710583, maxHeight=5934.783427922136, powerType='Fuel', size=14.60702592818198, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=32.079966069766}
1 {maxRange=42.17288775873367, maxFlightTime=22.832634949714503, cruiseSpeed=17.001861597472526, maxSpeed=24.645140982112437, loadCapacity=3.913023625872758, maxHeight=427.8418503087993, powerType='Electric', size=2.2048387018400044, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=167.9685338825865, maxFlightTime=142.94535429489304, cruiseSpeed=188.36608126805496, maxSpeed=96.22717144085367, loadCapacity=26.700431868211282, maxHeight=1950.121906854557, powerType='Fuel', size=2.264632991398582, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=4}
1 {maxRange=13.081527978547722, maxFlightTime=57.33616241444834, cruiseSpeed=19.28625736122282, maxSpeed=19.073739213093305, loadCapacity=3.3552249405174086, maxHeight=190.93704834688202, powerType='Electric', size=1.0009470745941662, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
4 {maxRange=52.955319965844716, maxFlightTime=38.233748406694744, cruiseSpeed=290.3102446147026, maxSpeed=447.40608768951904, loadCapacity=22.673494867057183, maxHeight=3398.889968353184, powerType='Hybrid (Fuel + Electric)', size=2.462631859449754, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=5952.1596215442305}
3 {maxRange=70.08974752036016, maxFlightTime=119.24711987731298, cruiseSpeed=73.82871136935943, maxSpeed=224.27779781252175, loadCapacity=21.141656143787582, maxHeight=4340.050895798642, powerType='Fuel', size=5.185509625847411, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=6}
3 {maxRange=129.21896013992037, maxFlightTime=87.68124549065193, cruiseSpeed=222.48071104645456, maxSpeed=217.36902721084746, loadCapacity=23.92598766421599, maxHeight=529.8680915752692, powerType='Fuel', size=2.812656102565025, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=6}
3 {maxRange=51.132733732611285, maxFlightTime=78.23359397168204, cruiseSpeed=55.63728120203657, maxSpeed=234.0186351242865, loadCapacity=18.931985992149887, maxHeight=1235.9009461166743, powerType='Fuel', size=1.9941834194189392, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=2}
4 {maxRange=89.72430943147836, maxFlightTime=116.75066992693026, cruiseSpeed=153.69000259235176, maxSpeed=191.82833094948393, loadCapacity=26.272683632947576, maxHeight=4920.918935988184, powerType='Hybrid (Fuel + Electric)', size=1.7434683976079426, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=4406.823240879437}
2 {maxRange=139.09425570930696, maxFlightTime=210.42054970866002, cruiseSpeed=306.55166562203493, maxSpeed=432.27303689914646, loadCapacity=49.84355660469859, maxHeight=4344.989074023075, powerType='Fuel', size=6.335399162281997, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=11.677642816789426}
3 {maxRange=74.66866743704122, maxFlightTime=150.04910766209622, cruiseSpeed=57.563117642512566, maxSpeed=122.90443364981232, loadCapacity=10.345966366763722, maxHeight=545.1859748795633, powerType='Fuel', size=1.6513117130446389, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=6}
2 {maxRange=147.0142594622315, maxFlightTime=156.44636089611998, cruiseSpeed=361.3307237151592, maxSpeed=431.1267125044043, loadCapacity=18.700192406028357, maxHeight=2444.1769717469206, powerType='Fuel', size=5.2889545411863415, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=6.023280410122499}
3 {maxRange=71.22064213041187, maxFlightTime=57.080040931405144, cruiseSpeed=73.92956238443016, maxSpeed=127.41763183816214, loadCapacity=16.70683188897347, maxHeight=2618.9917781097693, powerType='Fuel', size=2.734663505349748, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=6}
1 {maxRange=33.64299902960807, maxFlightTime=38.83935040392187, cruiseSpeed=13.865436823827404, maxSpeed=21.137642873546206, loadCapacity=2.7927546961150957, maxHeight=422.73011647675617, powerType='Electric', size=0.7033344648055664, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=79.39239338673518, maxFlightTime=146.01043391777836, cruiseSpeed=188.90726341086733, maxSpeed=131.1999524406093, loadCapacity=20.26485031385944, maxHeight=2654.4148393162973, powerType='Fuel', size=6.011608962982202, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=15.998361296364713}
2 {maxRange=233.84637072666834, maxFlightTime=191.37581172311872, cruiseSpeed=246.18638809699323, maxSpeed=474.15327057755843, loadCapacity=53.21959670719518, maxHeight=5544.408941610733, powerType='Fuel', size=17.08749689401047, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=19.41260020229352}
1 {maxRange=27.08364863966418, maxFlightTime=23.334750286421848, cruiseSpeed=10.12150256753441, maxSpeed=25.928006788156427, loadCapacity=1.535796612809999, maxHeight=556.9145811579887, powerType='Electric', size=1.9768438556732875, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
2 {maxRange=58.62026997386034, maxFlightTime=199.95456642893075, cruiseSpeed=323.54877517971534, maxSpeed=411.84741023621933, loadCapacity=21.352147768589383, maxHeight=1386.3050017306657, powerType='Fuel', size=8.803568900704477, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=24.82077462203984}
4 {maxRange=59.7874455169197, maxFlightTime=115.6031236036488, cruiseSpeed=269.36190859732255, maxSpeed=408.4443142168543, loadCapacity=18.592595078870858, maxHeight=1878.614596164532, powerType='Hybrid (Fuel + Electric)', size=2.4717730377285916, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=4595.0710775208845}
2 {maxRange=85.09498032822114, maxFlightTime=236.24464151800268, cruiseSpeed=343.6724432906084, maxSpeed=401.9415301242302, loadCapacity=39.69740830042518, maxHeight=5721.579745439988, powerType='Fuel', size=14.9510575268252, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=30.640553514805394}
3 {maxRange=159.95381651919803, maxFlightTime=79.77022985341242, cruiseSpeed=191.0212834581833, maxSpeed=102.8915815977166, loadCapacity=25.484728987304344, maxHeight=3363.1279628488087, powerType='Fuel', size=5.139621896738305, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=2}
3 {maxRange=92.28687481488424, maxFlightTime=137.41838172484682, cruiseSpeed=128.59797377634953, maxSpeed=117.28447554745422, loadCapacity=29.442486526544645, maxHeight=2265.853701440615, powerType='Fuel', size=4.85224369437088, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=6}
2 {maxRange=135.64116469265298, maxFlightTime=145.6106009129958, cruiseSpeed=384.0106159334138, maxSpeed=435.9235111133469, loadCapacity=24.72571813032979, maxHeight=2891.8496788046314, powerType='Fuel', size=5.823683408655592, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=27.69999993293155}
4 {maxRange=67.41126504149226, maxFlightTime=92.74400768608206, cruiseSpeed=80.2888783025742, maxSpeed=229.12824121268406, loadCapacity=27.740145145332274, maxHeight=1543.3177079228726, powerType='Hybrid (Fuel + Electric)', size=2.6489845396303546, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=3453.5379122370787}
1 {maxRange=38.598326095790995, maxFlightTime=69.71144671332213, cruiseSpeed=22.99151183229957, maxSpeed=37.07693921432792, loadCapacity=1.5577608782683041, maxHeight=174.4184960370416, powerType='Electric', size=1.8912071881554904, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
4 {maxRange=95.5420622633279, maxFlightTime=79.50938730509004, cruiseSpeed=101.27048982634308, maxSpeed=68.32986575236993, loadCapacity=42.603654940616586, maxHeight=5078.0730632062405, powerType='Hybrid (Fuel + Electric)', size=1.873638608167643, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=5930.636243301856}
4 {maxRange=66.01403949969915, maxFlightTime=91.26522372952485, cruiseSpeed=212.13061117914262, maxSpeed=313.3962269495075, loadCapacity=37.528198660495164, maxHeight=6459.6015007725455, powerType='Hybrid (Fuel + Electric)', size=3.694213999214909, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=2601.3852342250184}
1 {maxRange=27.907287605200423, maxFlightTime=49.01721746288963, cruiseSpeed=6.307321500319896, maxSpeed=20.82431851241762, loadCapacity=4.085883074493994, maxHeight=360.61750183469894, powerType='Electric', size=1.216125207195068, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=65.67027316271015, maxFlightTime=224.3511408347003, cruiseSpeed=102.74956119732467, maxSpeed=485.75735973447695, loadCapacity=39.19588729629814, maxHeight=5578.519821905574, powerType='Fuel', size=13.576352461656644, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=9.520727063222875}
3 {maxRange=48.76779235679216, maxFlightTime=112.17911560512049, cruiseSpeed=54.64091002697897, maxSpeed=307.4712161723783, loadCapacity=17.219524969590598, maxHeight=1027.5989999475232, powerType='Fuel', size=4.222128101821816, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
3 {maxRange=162.60761803113834, maxFlightTime=86.10366951667942, cruiseSpeed=61.83613798367649, maxSpeed=227.52099188866316, loadCapacity=20.739180021650146, maxHeight=851.1646583293127, powerType='Fuel', size=3.781079874696131, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=2}
1 {maxRange=24.82633297031802, maxFlightTime=25.520960560728494, cruiseSpeed=23.131632477179963, maxSpeed=32.43036803033761, loadCapacity=1.2488831570696988, maxHeight=297.0322340926219, powerType='Electric', size=1.2113330951808081, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=109.50937521327258, maxFlightTime=74.27081341022067, cruiseSpeed=57.660468863041416, maxSpeed=346.9538306459635, loadCapacity=12.532374356848475, maxHeight=4320.575361376246, powerType='Fuel', size=5.1600420568694965, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=2}
4 {maxRange=117.76035106524286, maxFlightTime=101.70546296274212, cruiseSpeed=232.06078532284715, maxSpeed=179.34715332086398, loadCapacity=33.95249353459806, maxHeight=6206.738479437917, powerType='Hybrid (Fuel + Electric)', size=1.5182727321766452, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=2235.145083632133}
3 {maxRange=110.9327044012401, maxFlightTime=97.84194856307334, cruiseSpeed=184.79645349309598, maxSpeed=143.57629761855875, loadCapacity=24.90800475823898, maxHeight=4075.1518362936536, powerType='Fuel', size=1.2324475395895536, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=3}
1 {maxRange=51.184134466860314, maxFlightTime=21.26021563692143, cruiseSpeed=21.665265744954315, maxSpeed=18.922912681451734, loadCapacity=4.33805595340283, maxHeight=505.8992617746993, powerType='Electric', size=2.4635635671262937, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
1 {maxRange=59.35089711973536, maxFlightTime=24.92271999979921, cruiseSpeed=14.271266129711854, maxSpeed=27.560296338318786, loadCapacity=4.125924220419851, maxHeight=235.18684792995245, powerType='Electric', size=1.78879686536929, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=153.87870946150156, maxFlightTime=46.163239179479284, cruiseSpeed=94.2374512156941, maxSpeed=74.86645231713817, loadCapacity=22.8152080604685, maxHeight=1706.4809868482293, powerType='Fuel', size=5.657235691351627, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=6}
1 {maxRange=15.108845030465325, maxFlightTime=39.71979850473669, cruiseSpeed=21.15355401628289, maxSpeed=12.180517541828387, loadCapacity=1.089204346057714, maxHeight=247.0375563629559, powerType='Electric', size=0.7516305148175739, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=79.43402842503286, maxFlightTime=122.02658465435604, cruiseSpeed=206.56039645178495, maxSpeed=319.2129927383568, loadCapacity=17.372416927962043, maxHeight=3524.123350660111, powerType='Fuel', size=4.8256443114312475, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=3}
4 {maxRange=125.03065533047025, maxFlightTime=90.33215651512664, cruiseSpeed=149.5785342807941, maxSpeed=260.2948706233269, loadCapacity=37.51687770513784, maxHeight=4946.426393397352, powerType='Hybrid (Fuel + Electric)', size=2.8476670863586904, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=6184.001116105911}
3 {maxRange=46.08940750375258, maxFlightTime=64.50950098423641, cruiseSpeed=165.48048296426037, maxSpeed=225.9318471874741, loadCapacity=7.061885001581776, maxHeight=1150.0861573974862, powerType='Fuel', size=1.1069014032697786, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=5}
3 {maxRange=65.57234917133383, maxFlightTime=155.72019720522388, cruiseSpeed=244.75252325816618, maxSpeed=315.44219648453975, loadCapacity=24.809906657415528, maxHeight=1218.4292091233258, powerType='Fuel', size=5.7733737192100625, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=3}
1 {maxRange=18.34247437163888, maxFlightTime=51.83744792463479, cruiseSpeed=5.442445586255862, maxSpeed=36.23135013603727, loadCapacity=2.860559192448013, maxHeight=410.3027796528477, powerType='Electric', size=1.616943476449706, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=208.61507386597836, maxFlightTime=224.87851618075277, cruiseSpeed=305.48121655463655, maxSpeed=272.0952297747874, loadCapacity=40.247993983481976, maxHeight=3429.698080280649, powerType='Fuel', size=15.978360587378981, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=31.029811283358928}
1 {maxRange=31.031466974896883, maxFlightTime=57.06058555096335, cruiseSpeed=7.299338943970499, maxSpeed=28.596446021929992, loadCapacity=5.962293674508007, maxHeight=263.28706182665985, powerType='Electric', size=2.2165072751373893, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
1 {maxRange=46.94775791655204, maxFlightTime=32.17405828968006, cruiseSpeed=19.90171273486331, maxSpeed=13.236734023859627, loadCapacity=2.5601052918646245, maxHeight=141.21729746841663, powerType='Electric', size=0.6528899904480054, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=95.90820714666943, maxFlightTime=126.78797465246396, cruiseSpeed=246.78163450473986, maxSpeed=119.18352811874456, loadCapacity=10.913032600814855, maxHeight=1787.412934665227, powerType='Fuel', size=3.232263336364824, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
4 {maxRange=129.2630874209445, maxFlightTime=50.138976269960054, cruiseSpeed=216.8372060709064, maxSpeed=365.7819505475823, loadCapacity=41.78576792158793, maxHeight=3729.7339110146345, powerType='Hybrid (Fuel + Electric)', size=3.1330603728068116, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=1747.8545259017192}
4 {maxRange=130.76753076906246, maxFlightTime=40.656212514976275, cruiseSpeed=111.51051515818601, maxSpeed=116.56890551842669, loadCapacity=37.030912892245965, maxHeight=2941.0274760395696, powerType='Hybrid (Fuel + Electric)', size=2.53915177468763, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=4934.706932024523}
1 {maxRange=20.116488036150567, maxFlightTime=65.8849507401871, cruiseSpeed=14.244137420199012, maxSpeed=30.344942845585763, loadCapacity=2.340996156635236, maxHeight=416.63272969934724, powerType='Electric', size=0.8931939657442436, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
4 {maxRange=55.77075175273881, maxFlightTime=68.24449221016008, cruiseSpeed=280.8449746678955, maxSpeed=202.96055784378225, loadCapacity=47.837987428417776, maxHeight=5893.357997744638, powerType='Hybrid (Fuel + Electric)', size=1.6128503802098866, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=6981.278947302686}
4 {maxRange=133.06200096692868, maxFlightTime=81.7887277903792, cruiseSpeed=126.34050934641562, maxSpeed=229.0300602066501, loadCapacity=43.77280759502223, maxHeight=2228.727314691426, powerType='Hybrid (Fuel + Electric)', size=3.875520262641698, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=6748.69748547242}
3 {maxRange=94.6373976391733, maxFlightTime=112.20926149245886, cruiseSpeed=61.81059702959459, maxSpeed=255.78463148507896, loadCapacity=27.889919808207353, maxHeight=2924.7790327317516, powerType='Fuel', size=2.781264822228161, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=6}
1 {maxRange=39.57825051224633, maxFlightTime=57.14280706375843, cruiseSpeed=23.719107394380558, maxSpeed=32.12127805886726, loadCapacity=4.632520472974076, maxHeight=148.8099225612139, powerType='Electric', size=1.0811510843081118, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
1 {maxRange=17.183510086589372, maxFlightTime=25.52425935613497, cruiseSpeed=12.700609162915955, maxSpeed=11.810579891397255, loadCapacity=3.3230626210023138, maxHeight=590.570464148579, powerType='Electric', size=2.2416869673252116, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
2 {maxRange=207.04015109833944, maxFlightTime=64.71081293796894, cruiseSpeed=150.37420628236086, maxSpeed=332.5993650206599, loadCapacity=47.248450717531426, maxHeight=3986.715520810656, powerType='Fuel', size=19.3003880758084, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=6.5929977276794265}
2 {maxRange=53.170512720434935, maxFlightTime=161.38268936067425, cruiseSpeed=371.8769618341219, maxSpeed=408.03962894497784, loadCapacity=34.895337349482375, maxHeight=3500.4346019876666, powerType='Fuel', size=14.105965370023682, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=32.75949512596016}
2 {maxRange=128.02498703377174, maxFlightTime=94.97878839209342, cruiseSpeed=332.0674831055819, maxSpeed=368.56532024109407, loadCapacity=28.298445791638763, maxHeight=3099.620225373486, powerType='Fuel', size=10.55723616220879, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=15.437493539553035}
